State/Territory,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Delaware,2016,"4,886","5,173","4,986","4,316","4,355","4,987","4,494","4,169","4,160","5,757","5,791","6,356","59,430"
District of Columbia,2016,82,95,85,69,110,72,60,62,52,61,56,71,875
Florida,2016,"125,935","132,010","119,207","104,114","94,732","125,567","125,208","114,446","102,843","111,657","134,638","144,983","1,435,340"
Georgia,2016,"62,707","66,777","55,396","41,265","33,740","42,626","49,183","44,370","41,621","48,308","58,723","68,269","612,985"
Guam,2016,176,141,188,160,194,164,173,170,189,220,176,172,"2,123"
Hawaii,2016,"1,383","1,424","1,469","1,453","1,316","1,754","1,565","1,305","1,247","1,277","1,347","1,141","16,681"
Idaho,2016,"13,197","15,520","13,824","10,638","8,658","12,947","12,154","11,635","12,611","14,160","13,965","17,034","156,343"
Illinois,2016,"189,400","169,908","175,762","154,306","119,574","164,500","168,227","185,912","127,535","169,348","161,604","137,994","1,924,070"
Indiana,2016,"230,892","221,556","151,821","126,579","119,897","94,326","88,340","79,202","63,820","72,085","92,535","95,672","1,436,725"
Iowa,2016,"26,714","23,728","23,526","15,435","12,578","12,209","11,937","12,518","12,094","14,908","18,540","18,090","202,277"
Kansas,2016,"19,443","19,817","16,593","13,227","10,559","12,364","14,140","13,770","14,051","17,656","22,646","22,282","196,548"
Kentucky,2016,"302,383","266,913","321,318","306,214","321,666","360,293","363,085","29,746","298,753","378,973","330,444","397,059","3,676,847"
Louisiana,2016,"32,192","32,939","26,552","23,719","20,462","26,278","41,063","30,716","33,656","32,820","39,979","51,493","391,869"
Maine,2016,"8,844","9,868","9,429","8,567","6,572","7,858","7,702","8,204","10,550","12,954","10,506","10,528","111,582"
Mariana Islands,2016,3,1,1,0,1,1,1,3,1,1,4,0,17
Maryland,2016,"13,321","14,735","14,546","13,007","11,176","11,647","12,228","12,510","12,161","14,405","17,647","17,984","165,367"
Massachusetts,2016,"20,208","17,835","20,450","17,505","15,449","17,743","20,480","18,138","17,481","19,500","21,581","19,842","226,212"
Michigan,2016,"56,723","61,421","59,827","48,163","37,823","39,580","40,142","41,493","41,363","49,099","56,137","47,834","579,605"
Minnesota,2016,"50,842","50,144","56,311","57,100","42,135","47,916","43,368","51,700","58,507","70,854","62,666","60,056","651,599"
Mississippi,2016,"21,330","28,656","21,727","17,182","15,159","17,507","21,907","26,351","19,705","21,433","29,113","36,091","276,161"
Missouri,2016,"61,257","67,682","64,449","49,098","40,752","45,384","46,637","44,182","41,437","50,651","57,501","63,289","632,319"
Montana,2016,"10,722","12,644","11,967","10,728","9,551","10,610","9,869","10,672","11,479","13,411","12,074","12,610","136,337"
Nebraska,2016,"11,116","8,576","8,315","6,280","4,956","5,777","5,429","6,405","6,099","7,834","9,086","8,790","88,663"
Nevada,2016,"12,291","14,342","13,550","11,803","10,105","11,771","11,785","10,520","10,434","12,026","14,476","14,889","147,992"
New Hampshire,2016,"16,887","14,577","14,498","12,630","10,869","12,661","13,068","12,039","13,329","15,045","15,256","14,305","165,164"
New Jersey,2016,"8,683","9,811","11,138","10,465","9,770","10,806","10,074","9,728","9,309","10,175","11,317","10,577","121,853"
New Mexico,2016,"12,577","16,662","13,999","12,421","10,847","12,560","12,219","12,341","11,867","13,089","15,116","17,518","161,216"
New York,2016,"34,071","34,195","34,781","31,789","26,336","28,472","29,513","30,808","33,599","37,907","43,009","40,292","404,772"
North Carolina,2016,"51,646","58,096","53,581","43,592","38,727","44,535","44,123","46,518","46,452","49,372","59,658","65,145","601,445"
North Dakota,2016,"5,877","5,799","6,281","6,039","4,620","6,568","5,470","5,461","5,883","7,283","6,494","6,261","72,036"
Ohio,2016,"76,218","90,222","85,267","71,881","58,406","60,366","63,148","62,418","58,828","71,864","88,928","88,178","875,724"
Oklahoma,2016,"34,889","37,589","29,112","26,489","21,379","26,167","25,946","25,927","25,309","28,578","40,123","43,082","364,590"
Oregon,2016,"26,378","28,869","27,093","23,132","21,266","25,502","24,813","22,911","26,487","28,948","33,555","35,754","324,708"
Pennsylvania,2016,"102,170","104,116","105,145","88,140","70,244","80,806","86,137","86,652","86,424","103,095","118,378","111,913","1,143,220"
Puerto Rico,2016,"1,133","1,088","1,188","1,185","1,202","1,298","1,331","1,370","1,383","1,429","1,590","1,664","15,861"
Rhode Island,2016,"2,617","2,392","2,516","2,125","1,648","2,302","2,368","2,090","2,052","2,448","2,658","2,542","27,758"
South Carolina,2016,"31,396","39,376","38,503","30,929","24,923","30,209","32,730","31,389","28,988","31,780","39,711","43,044","402,978"
South Dakota,2016,"10,220","10,732","9,178","8,275","6,403","7,519","7,406","7,873","9,284","12,670","11,622","10,739","111,921"
Tennessee,2016,"62,789","68,503","51,955","57,837","44,044","56,218","57,653","60,971","48,546","56,652","74,722","74,884","714,774"
Texas,2016,"164,088","192,417","152,465","126,292","104,134","120,263","127,207","124,608","126,694","144,467","157,519","181,572","1,721,726"
Utah,2016,"19,968","22,999","30,548","30,706","24,045","28,189","17,608","21,178","19,914","23,339","26,928","29,485","294,907"
Vermont,2016,"3,451","4,173","3,861","3,220","2,247","2,688","2,674","2,724","3,130","3,769","3,503","3,977","39,417"
Virgin Islands,2016,100,115,90,85,112,106,105,90,75,66,76,67,"1,087"
Virginia,2016,"44,181","47,955","42,741","36,219","30,787","37,593","43,574","38,667","38,779","46,862","58,362","62,649","528,369"
Washington,2016,"58,050","56,043","126,000","65,565","41,282","50,487","47,887","46,645","48,147","57,746","56,963","59,181","713,996"
West Virginia,2016,"18,985","27,216","22,143","17,825","14,918","16,423","16,791","17,315","18,079","20,035","25,378","27,242","242,350"
Wisconsin,2016,"39,561","42,855","44,925","38,403","27,431","30,747","38,922","53,689","59,639","63,442","65,277","56,928","561,819"
Wyoming,2016,"5,676","5,703","5,302","5,029","4,504","4,812","4,585","5,295","5,086","5,228","5,814","6,560","63,594"
Alabama,2015,"51,119","62,220","57,152","46,971","45,128","45,952","56,762","62,770","56,228","61,156","71,137","120,914","737,509"
Alaska,2015,"5,348","6,731","7,223","7,030","6,168","5,830","6,029","6,976","6,195","9,941","7,095","11,055","85,621"
Arizona,2015,"24,620","30,563","28,402","24,762","24,503","22,999","23,779","25,003","25,464","26,501","27,087","47,759","331,442"
Arkansas,2015,"18,184","24,042","20,397","17,135","16,258","15,372","17,694","21,087","21,834","23,409","25,048","36,886","257,346"
California,2015,"113,292","113,789","199,833","114,686","119,574","112,704","140,365","125,122","125,441","163,211","180,116","252,946","1,761,079"
Colorado,2015,"33,007","37,520","37,740","34,688","33,062","31,777","31,280","36,156","34,229","37,785","42,271","64,547","454,062"
Connecticut,2015,"24,791","24,291","30,302","26,677","24,571","24,605","22,195","21,514","21,775","23,918","26,438","36,673","307,750"
Delaware,2015,"4,133","4,137","4,610","3,665","3,683","3,332","3,275","3,459","3,360","4,052","5,040","7,670","50,416"
District of Columbia,2015,61,53,68,51,53,49,64,67,41,76,64,95,742
Florida,2015,"87,895","103,809","93,683","81,456","77,601","79,101","83,877","87,429","85,246","94,518","103,532","168,935","1,147,082"
Georgia,2015,"43,248","57,432","48,200","35,901","32,956","34,674","39,608","40,519","41,685","45,420","50,795","96,508","566,946"
Guam,2015,164,147,161,146,148,184,186,147,181,213,171,218,"2,066"
Hawaii,2015,"1,188","1,193","1,344","1,329","1,145","1,213","1,157","1,175","1,270","1,380","1,252","1,644","15,290"
Idaho,2015,"9,858","12,820","12,234","10,686","9,975","9,373","8,675","9,792","11,078","11,986","11,925","18,544","136,946"
Illinois,2015,"96,712","86,317","96,770","118,541","76,538","80,431","95,297","94,314","94,476","95,886","129,861","182,255","1,247,398"
Indiana,2015,"67,533","84,043","83,305","67,791","64,608","62,755","52,154","66,212","83,928","100,220","130,333","214,035","1,076,917"
Iowa,2015,"12,562","16,457","14,948","11,113","7,597","7,359","8,356","8,592","9,865","10,725","13,794","25,941","147,309"
Kansas,2015,"15,166","18,262","16,337","14,044","12,249","10,463","12,248","13,366","12,731","14,469","18,433","28,091","185,859"
Kentucky,2015,"320,778","198,493","281,518","253,890","271,614","242,027","220,018","286,463","262,693","276,162","295,891","308,824","3,218,371"
Louisiana,2015,"24,516","33,759","26,788","21,000","20,941","21,042","23,822","30,880","39,053","33,300","37,752","59,760","372,613"
Maine,2015,"5,423","6,166","7,438","6,608","5,860","6,151","6,549","7,283","8,648","11,245","9,297","14,076","94,744"
Mariana Islands,2015,1,5,2,2,1,2,1,1,1,1,0,1,18
Maryland,2015,"9,311","9,092","10,656","10,464","8,105","8,826","8,595","8,606","8,912","11,832","13,463","17,832","125,694"
Massachusetts,2015,"13,112","11,039","16,296","14,211","11,907","11,383","11,898","12,792","12,092","13,947","15,885","22,723","167,285"
Michigan,2015,"33,596","38,502","43,233","36,840","32,961","30,723","32,153","33,600","48,331","43,822","50,278","76,882","500,921"
Minnesota,2015,"37,824","40,699","51,987","44,682","37,779","33,553","31,732","39,036","43,688","50,060","44,023","64,181","519,244"
Mississippi,2015,"17,119","23,970","18,635","14,292","13,803","13,111","16,575","18,376","23,398","20,862","27,504","44,727","252,372"
Missouri,2015,"47,271","55,680","52,566","42,187","37,565","37,010","37,539","40,259","40,511","49,890","55,031","89,366","584,875"
Montana,2015,"8,234","11,027","10,863","9,473","9,364","8,529","8,713","10,130","11,302","12,988","10,415","16,667","127,705"
Nebraska,2015,"6,241","6,715","6,796","5,325","4,500","4,369","4,596","5,418","5,433","6,880","8,299","14,768","79,340"
Nevada,2015,"9,482","11,626","11,192","9,830","9,959","9,186","8,829","8,818","9,821","9,456","10,632","18,649","127,480"
New Hampshire,2015,"9,834","9,085","11,780","10,849","10,564","9,881","9,404","10,185","10,094","11,664","12,850","20,626","136,816"
New Jersey,2015,"7,144","7,229","8,529","7,594","6,704","7,007","6,588","6,537","6,056","7,315","8,313","11,018","90,034"
New Mexico,2015,"10,614","13,832","13,587","11,299","11,021","9,969","10,404","11,179","11,570","12,381","12,721","19,335","147,912"
New York,2015,"26,506","25,920","29,889","26,818","21,977","22,717","21,821","23,978","28,204","33,282","36,421","48,515","346,048"
North Carolina,2015,"43,199","48,473","45,196","37,520","32,357","33,889","37,651","39,565","42,348","46,020","49,217","76,441","531,876"
North Dakota,2015,"5,512","5,512","6,517","5,225","4,683","4,481","4,593","5,148","5,619","7,547","6,288","8,304","69,429"
Ohio,2015,"47,676","59,899","62,389","59,965","49,428","49,297","49,952","51,999","53,928","62,456","81,616","119,897","748,502"
Oklahoma,2015,"28,606","34,307","29,926","26,152","23,210","21,793","23,594","26,376","25,154","28,582","35,457","56,119","359,276"
Oregon,2015,"19,429","24,213","23,895","20,563","19,292","17,765","18,003","19,393","21,650","25,405","25,453","41,065","276,126"
Pennsylvania,2015,"73,321","81,379","92,329","74,820","62,676","64,122","65,250","69,162","70,156","82,552","103,836","153,826","993,429"
Puerto Rico,2015,"1,225","1,282","1,377","1,168","1,477","1,499","1,342","1,357","1,300","1,288","1,242","1,335","15,892"
Rhode Island,2015,"1,722","1,777","1,953","1,710","1,543","1,512","1,461","1,477","1,566","1,944","2,101","3,363","22,129"
South Carolina,2015,"23,923","31,543","26,546","22,801","20,254","20,763","25,017","25,047","24,395","26,030","32,064","48,614","326,997"
South Dakota,2015,"6,709","9,065","8,923","6,951","6,436","5,645","5,914","7,369","7,949","10,920","9,727","14,660","100,268"
Tennessee,2015,"57,536","53,761","40,064","44,972","40,597","42,558","57,873","49,128","52,313","51,134","63,670","100,586","654,192"
Texas,2015,"115,315","140,229","129,368","106,032","111,012","106,461","106,013","122,233","122,503","126,327","146,982","241,791","1,574,266"
Utah,2015,"19,394","20,627","23,422","20,361","18,544","20,684","17,259","19,717","22,343","19,046","21,772","31,645","254,814"
Vermont,2015,"2,373","3,220","3,115","3,081","2,172","2,135","2,219","2,466","2,681","3,259","3,136","4,731","34,588"
Virgin Islands,2015,79,113,96,115,118,104,159,100,134,100,109,115,"1,342"
Virginia,2015,"36,685","40,786","39,427","31,657","28,447","27,904","32,419","32,147","34,030","38,959","48,010","72,526","462,997"
Washington,2015,"38,018","43,129","43,542","38,008","33,943","32,783","34,177","36,031","40,441","45,061","43,989","73,158","502,280"
West Virginia,2015,"17,624","24,248","25,804","18,739","15,288","14,695","15,607","16,720","17,801","21,388","25,063","36,037","249,014"
Wisconsin,2015,"24,587","32,541","37,433","31,164","24,362","22,715","24,350","28,396","30,630","36,111","38,541","52,450","383,280"
Wyoming,2015,"4,413","5,539","5,459","4,697","4,612","4,388","4,371","4,839","4,968","5,166","5,017","8,870","62,339"
Alabama,2014,"52,138","63,947","57,656","46,332","43,111","41,709","43,600","45,465","45,081","50,068","56,324","75,874","621,305"
Alaska,2014,"4,951","6,353","7,271","8,305","7,166","6,005","6,035","7,816","6,625","9,803","7,851","9,442","87,623"
Arizona,2014,"24,458","29,657","28,307","25,939","24,566","22,049","21,193","26,519","23,538","25,181","26,203","33,062","310,672"
Arkansas,2014,"17,158","24,599","20,173","16,546","17,070","14,177","13,484","15,895","17,053","23,097","25,577","29,453","234,282"
California,2014,"100,054","111,341","137,660","134,448","120,661","102,639","104,309","119,570","118,856","128,439","132,469","164,170","1,474,616"
Colorado,2014,"33,328","36,936","38,547","34,615","31,697","26,802","29,247","32,230","30,504","35,546","36,523","47,309","413,284"
Connecticut,2014,"28,542","29,640","36,553","20,715","14,437","13,270","12,620","16,479","22,160","24,547","23,451","27,883","270,297"
Delaware,2014,"2,486","3,207","3,534","2,822","3,896","2,928","2,960","3,415","3,289","3,802","4,764","5,847","42,950"
District of Columbia,2014,52,28,48,36,31,23,49,47,48,52,45,53,512
Florida,2014,"82,342","100,876","104,835","94,323","78,127","70,597","70,230","75,868","77,573","83,962","87,931","107,882","1,034,546"
Georgia,2014,"36,627","50,459","45,841","36,533","33,247","30,386","32,987","35,344","35,423","43,186","44,325","60,222","484,580"
Guam,2014,173,158,205,209,166,145,126,162,181,172,160,203,"2,060"
Hawaii,2014,"1,337","1,222","1,333","1,597","1,155","1,210","1,291","1,130","1,153","1,330","1,078","1,389","15,225"
Idaho,2014,"8,532","11,822","14,322","10,422","9,289","9,745","8,251","10,295","11,211","11,973","10,932","14,948","131,742"
Illinois,2014,"121,288","115,903","145,597","105,924","92,638","112,407","86,596","91,721","117,143","103,053","104,606","147,220","1,344,096"
Indiana,2014,"38,520","51,976","52,880","42,399","36,151","30,807","31,816","37,077","34,547","80,707","136,175","74,495","647,550"
Iowa,2014,"13,003","13,167","13,686","10,404","8,165","8,569","7,575","7,923","8,494","10,795","10,906","14,335","127,022"
Kansas,2014,"14,248","17,798","16,410","13,161","10,895","10,053","10,381","11,796","12,558","14,601","18,147","22,119","172,167"
Kentucky,2014,"258,471","259,837","280,948","274,155","230,610","214,382","248,979","232,853","80,383","31,756","84,113","295,697","2,492,184"
Louisiana,2014,"22,584","28,120","25,477","19,656","19,085","18,906","17,996","24,409","31,703","29,220","33,557","44,644","315,357"
Maine,2014,"5,673","7,101","7,591","6,890","5,674","4,783","4,923","6,313","7,667","10,133","7,347","8,990","83,085"
Mariana Islands,2014,0,1,0,2,0,1,2,0,2,2,2,0,12
Maryland,2014,"21,715","18,999","17,071","10,548","7,913","7,320","6,878","8,265","8,480","10,073","12,483","12,462","142,207"
Massachusetts,2014,"17,908","16,662","20,176","16,097","14,087","13,474","12,638","13,949","12,394","14,369","13,258","14,332","179,344"
Michigan,2014,"29,623","35,449","42,636","36,618","31,109","28,148","29,119","32,189","37,179","40,169","39,561","42,291","424,091"
Minnesota,2014,"34,528","40,503","50,582","46,067","34,462","35,400","33,483","37,674","41,988","45,025","38,258","43,152","481,122"
Mississippi,2014,"14,902","21,805","17,334","13,044","12,506","11,455","11,995","15,732","20,332","19,086","24,074","32,564","214,829"
Missouri,2014,"36,903","48,674","46,051","38,283","31,691","30,079","30,494","40,886","39,077","50,021","60,330","64,574","517,063"
Montana,2014,"8,273","10,352","11,045","10,056","8,930","8,454","7,798","9,986","10,880","12,833","10,052","13,177","121,836"
Nebraska,2014,"6,115","6,384","6,437","5,240","4,074","3,550","3,704","4,763","5,577","6,735","7,072","8,917","68,568"
Nevada,2014,"9,387","11,879","11,769","9,819","8,950","9,000","8,108","8,780","8,630","8,873","8,950","12,590","116,735"
New Hampshire,2014,"9,884","10,204","12,519","11,592","10,119","8,534","8,374","9,688","9,668","11,633","10,215","12,247","124,677"
New Jersey,2014,"7,954","7,762","9,726","8,472","7,908","6,649","6,792","6,828","6,470","7,435","7,612","8,712","92,320"
New Mexico,2014,"10,183","13,859","13,550","10,620","10,235","9,546","9,168","10,816","10,973","12,641","12,308","15,881","139,780"
New York,2014,"25,551","27,317","33,819","43,433","25,889","23,810","27,126","27,139","28,575","34,659","33,260","34,849","365,427"
North Carolina,2014,"41,804","224,667","541,978","59,495","34,589","32,577","31,117","35,184","35,405","43,204","45,758","56,571","1,182,349"
North Dakota,2014,"5,594","6,472","6,329","6,330","5,216","4,224","4,382","5,239","5,914","7,836","6,217","6,795","70,548"
Ohio,2014,"40,864","59,527","59,244","48,767","40,586","35,267","37,889","42,044","42,944","53,277","64,249","71,731","596,389"
Oklahoma,2014,"26,608","33,901","30,087","26,310","22,251","21,797","21,917","25,875","25,886","30,881","37,671","45,311","348,495"
Oregon,2014,"19,504","23,197","24,346","19,475","17,875","16,461","14,896","16,665","19,544","20,667","22,003","28,411","243,044"
Pennsylvania,2014,"69,963","76,916","93,402","74,553","63,261","56,296","59,582","67,743","71,450","83,119","87,572","95,384","899,241"
Puerto Rico,2014,"1,400","1,386","1,431","1,221","1,378","1,188","1,219","1,391","1,316","1,402","1,369","1,417","16,118"
Rhode Island,2014,"1,646","1,897","2,208","1,667","1,471","1,251","1,374","1,617","1,570","1,889","1,822","1,988","20,400"
South Carolina,2014,"22,356","28,440","28,436","21,621","21,331","19,781","19,093","22,184","20,378","24,311","26,987","34,846","289,764"
South Dakota,2014,"6,101","7,897","7,538","6,054","5,167","4,781","4,984","6,261","7,166","9,445","8,620","9,645","83,659"
Tennessee,2014,"45,597","55,684","43,344","36,861","33,567","32,665","34,494","39,800","38,227","44,933","55,288","72,934","533,394"
Texas,2014,"130,524","147,793","130,310","101,103","97,814","91,133","94,876","115,497","114,900","122,547","138,837","180,658","1,465,992"
Utah,2014,"21,908","21,548","22,924","29,587","26,525","23,271","19,385","19,335","17,531","16,476","19,211","26,111","263,812"
Vermont,2014,"2,138","3,132","3,305","3,114","2,100","1,736","1,868","2,280","2,743","3,101","2,833","3,152","31,502"
Virgin Islands,2014,131,108,108,103,94,105,63,132,112,127,94,94,"1,271"
Virginia,2014,"31,647","42,073","40,700","31,037","27,385","26,351","28,031","30,501","31,726","36,419","43,955","49,939","419,764"
Washington,2014,"40,612","44,399","45,491","46,446","37,636","32,647","31,164","32,674","35,256","41,682","44,282","49,826","482,115"
West Virginia,2014,"15,350","23,569","20,942","16,702","14,682","12,646","13,298","15,799","16,952","20,922","24,050","26,935","221,847"
Wisconsin,2014,"23,568","31,698","37,199","32,375","22,493","19,302","19,541","24,467","27,754","33,262","31,027","31,622","334,308"
Wyoming,2014,"4,359","5,677","5,699","5,508","5,187","4,644","4,205","4,637","5,296","5,421","5,399","7,031","63,063"
Alabama,2013,"55,210","52,678","45,144","33,215","32,005","27,990","33,290","49,978","46,263","51,520","59,213","77,374","563,880"
Alaska,2013,"9,975","9,397","9,047","8,758","7,529","6,077","5,889","7,545","6,047","8,322","6,868","7,951","93,405"
Arizona,2013,"41,443","38,022","36,946","32,444","27,145","25,994","25,712","29,065","22,904","24,148","26,839","32,374","363,036"
Arkansas,2013,"29,607","33,226","28,004","22,062","18,509","17,280","22,815","22,401","16,195","19,661","24,393","25,583","279,736"
California,2013,"133,187","108,666","117,106","110,149","112,464","109,153","100,114","111,132","104,067","114,595","109,140","138,522","1,368,295"
Colorado,2013,"53,121","55,170","58,007","43,675","39,181","40,488","42,207","35,642","31,620","34,371","37,908","43,268","514,658"
Connecticut,2013,"31,886","24,128","31,213","29,703","22,706","22,597","22,598","23,489","21,666","20,189","22,530","21,633","294,338"
Delaware,2013,"5,055","4,235","4,250","3,665","2,992","2,447","2,282","2,526","2,515","2,989","3,354","3,752","40,062"
District of Columbia,2013,59,62,52,48,40,26,32,35,36,37,35,35,497
Florida,2013,"117,696","99,785","86,541","102,757","90,077","76,142","78,121","81,138","73,216","79,284","86,342","102,760","1,073,859"
Georgia,2013,"70,862","67,907","53,457","39,865","32,984","28,248","31,011","34,288","32,309","38,032","43,059","55,863","527,885"
Guam,2013,132,95,82,89,134,95,113,122,98,127,103,141,"1,331"
Hawaii,2013,"2,260","1,803","1,564","1,753","1,322","1,146","1,260","1,283","1,196","1,325","1,103","1,401","17,416"
Idaho,2013,"17,708","17,947","15,954","13,075","10,133","8,717","8,460","9,967","10,165","10,694","10,703","13,971","147,494"
Illinois,2013,"149,608","127,615","137,812","132,255","109,338","105,012","82,699","85,074","67,839","101,416","90,868","91,077","1,280,613"
Indiana,2013,"61,855","57,638","57,961","51,393","39,560","39,636","51,081","49,336","40,129","43,650","51,526","53,359","597,124"
Iowa,2013,"24,157","20,309","19,176","15,734","9,708","8,336","6,772","8,566","10,873","11,717","12,076","12,638","160,062"
Kansas,2013,"29,270","24,839","22,741","21,146","19,099","13,084","14,721","14,753","13,318","15,038","18,670","21,426","228,105"
Kentucky,2013,"238,510","247,260","243,253","39,190","25,271","29,195","29,719","27,296","54,426","204,305","208,696","231,210","1,578,331"
Louisiana,2013,"42,313","35,129","30,893","24,525","21,920","18,953","19,777","25,224","29,508","28,194","33,765","42,824","353,025"
Maine,2013,"10,538","9,029","10,320","8,888","6,442","5,620","5,492","6,806","8,102","9,707","8,004","7,812","96,760"
Mariana Islands,2013,1,2,0,0,0,0,0,0,1,2,5,2,13
Maryland,2013,"18,392","16,241","16,873","15,618","14,340","12,702","12,248","14,929","49,644","20,526","18,413","21,256","231,182"
Massachusetts,2013,"27,785","21,491","25,220","22,616","20,226","18,481","20,775","21,380","18,583","19,891","18,506","16,407","251,361"
Michigan,2013,"60,852","54,680","57,686","49,219","34,050","29,521","29,608","34,265","36,135","40,320","39,996","37,647","503,979"
Minnesota,2013,"64,272","55,260","57,031","52,210","40,424","29,559","30,700","35,738","40,431","43,178","38,292","38,679","525,774"
Mississippi,2013,"26,380","26,649","21,207","15,363","13,418","11,605","12,768","16,821","14,804","18,028","25,301","29,367","231,711"
Missouri,2013,"71,515","65,205","62,321","47,963","39,002","32,677","32,926","38,352","35,901","42,480","47,444","51,223","567,009"
Montana,2013,"15,217","14,677","13,783","11,764","9,873","8,571","8,719","10,683","10,194","12,038","10,548","11,763","137,830"
Nebraska,2013,"14,751","9,960","11,052","8,310","5,806","4,503","4,323","5,411","5,387","6,517","6,868","8,665","91,553"
Nevada,2013,"18,361","17,065","15,623","14,225","11,297","9,962","8,915","9,540","8,704","9,800","10,503","12,897","146,892"
New Hampshire,2013,"20,513","14,988","15,881","14,365","11,780","8,975","8,707","9,645","10,164","11,318","10,397","10,993","147,726"
New Jersey,2013,"11,110","8,972","9,843","8,977","12,656","12,104","9,963","9,865","8,091","9,341","10,031","9,118","120,071"
New Mexico,2013,"16,998","17,202","16,606","12,995","11,936","9,948","10,135","10,939","10,018","12,018","12,642","14,896","156,333"
New York,2013,"43,752","32,249","35,013","30,999","23,167","21,003","20,065","23,867","27,247","30,402","32,643","32,657","353,064"
North Carolina,2013,"70,301","72,694","58,353","46,729","38,695","32,934","33,798","36,326","34,609","40,850","50,272","59,061","574,622"
North Dakota,2013,"9,686","8,362","8,143","7,678","6,284","5,016","5,143","5,641","6,707","8,511","7,692","6,949","85,812"
Ohio,2013,"83,996","79,762","76,031","57,639","42,751","39,150","39,440","41,954","42,579","48,416","61,911","67,301","680,930"
Oklahoma,2013,"48,246","43,984","37,224","30,530","24,269","21,661","22,622","26,282","23,496","27,268","35,876","39,176","380,634"
Oregon,2013,"33,335","30,190","28,021","23,657","18,777","17,274","15,846","18,504","19,746","19,484","22,895","26,573","274,302"
Pennsylvania,2013,"135,603","113,841","114,209","90,995","70,882","61,992","60,876","70,687","70,015","79,205","88,985","87,441","1,044,731"
Puerto Rico,2013,"1,357","1,258","1,233","1,315","1,555","1,606","1,351","1,540","1,469","1,491","1,488","1,305","16,968"
Rhode Island,2013,"3,792","2,624","3,088","2,775","2,109","1,697","1,561","1,642","1,622","1,862","1,925","1,969","26,666"
South Carolina,2013,"36,801","42,168","35,234","27,599","23,713","21,463","23,572","25,637","20,573","21,704","25,922","31,309","335,695"
South Dakota,2013,"11,242","10,060","9,506","7,058","5,772","4,820","4,719","5,998","6,812","8,534","8,416","9,118","92,055"
Tennessee,2013,"69,456","70,784","61,462","45,767","42,521","36,424","34,531","39,133","40,207","42,522","53,278","64,784","600,869"
Texas,2013,"186,890","189,806","163,594","131,815","111,668","97,420","100,819","115,380","111,067","124,834","133,911","166,074","1,633,278"
Utah,2013,"27,938","28,356","32,240","30,717","34,615","27,453","28,963","30,966","19,074","17,812","21,492","24,978","324,604"
Vermont,2013,"4,195","4,254","4,099","3,608","2,228","1,957","1,915","2,306","2,742","2,951","3,007","2,873","36,135"
Virgin Islands,2013,26,6,271,108,75,94,77,107,94,96,86,94,"1,134"
Virginia,2013,"60,837","57,124","52,284","39,271","31,108","29,376","28,960","33,074","33,507","36,623","44,918","51,344","498,426"
Washington,2013,"73,547","66,081","60,588","49,100","40,430","35,567","33,115","37,388","36,213","41,311","40,784","46,998","561,122"
West Virginia,2013,"26,793","29,414","25,848","18,761","15,908","13,796","13,839","16,506","17,038","19,865","24,919","26,265","248,952"
Wisconsin,2013,"56,977","50,656","50,492","42,236","28,975","20,416","22,108","27,420","32,039","35,951","35,704","31,714","434,688"
Wyoming,2013,"7,861","7,556","7,534","6,084","5,581","4,854","4,299","4,876","5,018","4,629","5,494","6,885","70,671"
Alabama,2012,"28,358","39,993","33,964","25,289","24,617","26,055","26,858","32,191","28,384","32,850","52,221","80,576","431,356"
Alaska,2012,"3,824","5,712","6,886","7,359","6,697","6,231","5,963","7,482","6,116","8,503","8,131","12,438","85,342"
Arizona,2012,"22,223","30,320","32,310","24,088","23,073","23,452","23,776","27,791","25,496","24,336","34,003","48,795","339,663"
Arkansas,2012,"16,113","25,303","19,824","14,875","12,851","13,640","14,859","17,976","19,881","22,743","29,298","38,830","246,193"
California,2012,"75,418","89,188","107,573","90,368","83,820","85,384","80,683","87,291","79,077","89,164","113,832","150,805","1,132,603"
Colorado,2012,"30,531","35,411","36,411","29,874","27,051","25,936","28,679","34,204","32,087","35,009","46,192","53,453","414,838"
Connecticut,2012,"17,958","19,861","22,234","19,172","18,426","17,348","16,544","18,497","16,902","18,761","22,547","29,246","237,496"
Delaware,2012,"2,054","2,503","2,486","1,997","1,813","1,737","1,907","2,259","2,149","2,512","3,681","5,626","30,724"
District of Columbia,2012,45,39,34,29,26,20,41,40,30,53,41,51,449
Florida,2012,"58,468","73,182","68,009","57,162","54,996","55,905","57,012","63,007","59,337","64,782","88,114","134,345","834,319"
Georgia,2012,"34,191","49,066","40,518","27,989","27,905","27,206","28,807","34,710","31,077","37,586","47,507","78,998","465,560"
Guam,2012,78,91,72,70,51,83,62,78,71,81,82,111,930
Hawaii,2012,"1,079","1,257","1,547","1,599","1,408","1,260","1,313","1,426","1,334","1,569","1,622","2,014","17,428"
Idaho,2012,"9,525","11,776","12,760","10,070","9,358","8,872","8,239","10,348","10,427","11,157","13,395","20,555","136,482"
Illinois,2012,"89,958","88,343","105,812","93,918","78,257","75,388","65,557","85,626","71,123","78,049","91,889","112,141","1,036,061"
Indiana,2012,"31,328","45,553","46,111","37,242","31,246","28,002","29,009","35,953","33,033","38,305","48,477","71,348","475,607"
